,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
13,4.202226215011607,2.4466430922840305,11.41979102416511,41.63492589912528,1.1055999277474102,3.47948616503915,0.4995066311847903,1.2324263376656015,0.6430291851754311,0.3955077049320448,7.947472440181365,38.90950944019716,-0.0059349693907745,0.1003228869924179,0.0062513019656473,0.0262484500173092,-0.0047905583992165,-0.0037024541557635,-7.905741441596183e-05,-2.142455081957296e-05,-0.0006033220964657,-3.3529928700335786e-06,-5.381120878316757e-05,-9.34412809912901e-06,0.0178973609538705,0.0116573828711415,5.433339173764903e-12,-1.173300968855067,0.0002841286011944,0.0008837330192884,-7.01514591585697e-05,-8.572568511535611e-05,0.0003011026119977,0.0023701523767929,1.063143148524913,0.93798034441338,1.0244441589759692,0.6370344161694763,0.9968655317939692,1.0646016538925849,0.9649506431137316,0.0217527098701628,1.4043293045046628,1.012438460406784,278.1208628439668,1360950
566,7.562291722777044,3.7791552516855567,8.86548219896656,127.76204170357508,1.5712547200576996,1.97106735057726,0.5245172750793482,0.9112144868992352,1.490941449696155,0.4230983707193034,7.736536953154952,34.077000964877286,-0.0010799872300507,0.9827239917241698,0.0045081346337431,0.0197408017835583,-0.0034566899261236,-0.004317197208714,-0.0001041161587718,-1.5016400439973516e-05,-0.0006542857790166,-2.382565696706909e-06,-4.639679471641853e-05,-8.814444930215842e-06,0.0044209066511872,3.93506374996267e-07,0.0527575964402165,-2.5596078812680565,0.0002903702237447,0.001365452279022,3.827225830437573e-05,-0.0001072414759522,-4.193485127064445e-05,0.0018286425347526,1.061280730434082,1.006089035118759,0.9165965162409416,0.8440395696405296,1.1649264930392362,0.974512912882461,0.4804363585689427,0.1254964804300298,1.3513733977532385,0.996767781699684,278.5011290828819,1581597
1511,9.70865064016172,4.640706689058053,21.95502956470876,105.56722798800408,1.5728378444475393,2.132481595001796,0.8405893003810191,0.7044411481406078,0.9943241351206188,0.5329169448900265,8.788510653513368,33.37514569535622,0.0008671553677651,1.6953354402994143,0.0027791538566794,0.0074993705512195,-0.0038508901945014,-0.0020144098437991,-9.842655190918712e-05,-1.7369007615657145e-05,-0.0005266930737979,-2.011807883277417e-06,-1.1001404509231927e-05,-8.928538912660997e-06,0.020391352291308,1.872765469182219e-32,0.0133867377049461,-0.853833690408803,0.0002620313408369,0.0011279673335103,-1.8927087534625663e-05,5.1732352314627205e-05,0.0002751026202744,0.0012788240253678,1.090136343065023,0.9498194915203846,0.9032402223730698,0.113622136550773,1.468279841529638,0.6968877951111161,0.7988280141150834,-0.0103086213740291,0.6754893137957934,1.0719717675332667,275.93280768243943,1958652
4258,6.5271177742334805,3.433596332263104,10.471525517675392,125.1038487095175,0.9840765746105432,8.120210578683585,0.900333576324014,1.463426039271532,0.9029524286044333,0.4824817648045721,7.899481880135777,33.83694210148099,9.75762381591216e-05,0.9734601289094535,0.0030122088604007,0.0340335986308448,-0.0043807067848277,-0.0049203499490146,-7.003594831238843e-05,-2.96623728867561e-05,-0.0005889265876731,-7.996926029630858e-07,-4.003194577494517e-05,-9.526290812166235e-06,0.0034252697017044,0.001066209266656,0.0070707560437998,-2.869811383537415,0.0002706984388187,0.0010271507861923,-3.445991655575382e-05,7.967518544461789e-05,6.470803139653621e-05,0.001154860358635,0.8997721903861521,1.0027333898289443,0.9114777584250068,0.915705457869949,0.8884148381952937,1.111512321174689,1.405472008393311,0.0058273984191705,1.0702067528792092,1.009026256470292,278.08294159596545,3054705
7318,7.392651756125007,3.597263839783004,10.569637847110265,57.42510745911082,0.7190145909330998,2.935533502111942,1.0541312602160462,1.7398909330663503,1.3122796893179376,0.5766433005474484,7.888734821738129,36.5998871895565,-0.003503903560143,3.45577987002131,0.0033839041016075,0.0283257330304942,-0.0042527475338611,-0.0009042813309611,-5.759967129004675e-05,-4.600971467721258e-05,-0.0006361252494506,-3.184217963358152e-06,-5.126503074384481e-05,-7.764396774301488e-06,0.0019913067145882,3.5127901526788083e-15,0.0009868536008623,-7.06478653881131,0.0001997226978557,0.0007434970147689,-0.0001957505710234,-1.934096073283819e-05,0.000537844740995,0.0009902230247583,1.0889789093445883,1.0392925708964664,0.7860166811307769,1.176284099842392,0.6274898760053854,1.051275753047152,0.8034827743450697,0.090080763909125,1.5977306709486678,1.0080877817584624,274.68843443175734,4275645
7786,7.77056118538691,3.625132848937976,14.483849536270698,85.20018338305226,0.8540908875829771,3.4940957913746864,0.9733051526344216,1.418206532596196,0.9003485425514972,0.5893678075429407,8.343916587584651,35.60391166579603,0.0002763703258507,0.6625064968443675,0.0025423104525621,-0.0076652363044323,-0.0051603399442162,-0.0038479893192439,-7.796189591608814e-05,-8.322183487437769e-06,-0.0006607781908992,-1.685690948379976e-06,-5.274891927216496e-05,-7.854042095615127e-06,0.0965232805396869,7.127386905148938e-53,3.161296435591688,-1.9406410898515376,0.0002454687703022,0.0013895062640844,-2.993473004641892e-05,6.024524270073855e-05,0.0004244686826593,0.0011441428670021,1.1631196825688048,1.0428848110575193,1.150952321347806,1.5198540793537425,1.857569559671868,1.243136124465002,1.1017400457525977,-0.0702605104594931,0.3519924072423555,1.041094210158365,275.85610947468,4462377
7878,6.654112187279134,3.541997445585494,6.485247914278469,121.83010327123992,0.900713145579304,2.7280655554241218,0.7340698774566045,0.933295620190376,0.4347888332122774,0.5555519025956764,7.72223890771592,28.50220526526628,0.0054893936870343,2.2625953476101217,0.0004168465551761,0.0277519289228441,-0.0032280246288037,-0.0042162621542904,-8.939757001282569e-05,1.6319169743752228e-05,-0.0006388416282737,-2.6594800596123496e-06,-6.4646919298276e-05,-1.011504767607419e-05,0.0065733900449707,1.1903552760601983,1.1168796807921656e-09,-0.8332939282672489,0.0002939255820744,0.0009582640103813,-0.0001483657042492,2.0310294017548074e-05,0.0003245628156095,0.0002385582532994,0.8855160249352827,1.0384448896813667,1.0483635430553149,1.6387292875542978,0.5715945159830651,1.0249971928771329,1.4221638218271715,-0.03383858476871,0.693920275176177,0.9957666456057966,276.9711107815261,4499085
7972,2.6632684040039294,4.884846747430596,23.18711172199736,34.96974894264702,1.2988863143668787,1.1562043033035851,1.0822436810994658,1.7547319070378322,0.2573656962867641,0.3232007074004693,6.979611425739954,27.58912870486825,0.0041571494468904,5.053925429562726,0.0002607108473057,0.0184302301650097,-0.0033672486673328,-0.0048470912115883,-8.920586658811657e-05,-9.136910504936414e-06,-0.0005718144845276,-2.957061411642995e-06,-3.0233923413735515e-05,-7.143351151486924e-06,0.0007919627861976,1.2251974261414895,4.843222795626281e-15,-0.9332864013590968,0.0002151615873425,0.0011318765034869,-3.224789177588795e-05,8.7767944991377e-05,0.0003758741558522,0.0014482437022377,0.7949958550383505,1.119934980313909,1.0650602028402425,0.6921007046041582,0.8149535417648186,0.961618705806485,1.2850629417480643,-0.0974048833231702,3.4652845257541105,0.9395680791678712,280.51800964470885,4536591
10596,1.4355090190873492,4.746390310276901,19.11346637198361,107.60262595312342,1.4845360471246694,1.1232220852392911,1.015411253263878,0.9755325385741528,0.6347003798740818,0.4183215265140284,7.258882102999659,31.90055714062599,-0.0003670546611227,2.577424640176167,0.0049389680089363,0.0236380603444313,-0.0034261302561396,-0.0005671088925929,-8.056596394199105e-05,-3.254521299844344e-05,-0.0006088991510698,-2.1095674627464766e-06,-4.081105213181621e-05,-7.884220561656928e-06,0.0048168054367374,92.2737963114405,0.0016369617333323,-0.8219854846154803,0.0002273704690015,0.0015938828377981,-0.0001067511599582,4.251209139127974e-05,0.0004670234576192,0.0011402047108197,0.8386135394794872,1.076762403938808,0.9551362703753185,0.9140970001870916,1.1198427799231057,0.9565392732261658,1.1698640514379357,-0.0438924300353231,1.4478471214765645,0.9603499382335392,278.2016674456416,5583567
15338,20.602546705663165,2.630013401006829,15.537793543328451,95.90628673185688,1.522503599096238,6.390491285850514,0.7118310646063,1.1382666456040045,2.009204634187033,0.4278877646457965,8.750507819504598,25.600326417350825,0.0078529767340898,1.877458158546268,9.872432751610844e-05,0.0228422079215801,-0.0056035227205944,-0.002827301189683,-0.0001001209192187,-2.853941871799326e-05,-0.0006239870514051,-4.366580755070807e-06,-3.3317512223319485e-05,-8.44368216895821e-06,0.0046988113983151,0.0127378768766615,2.3457264607549104e-17,-1.138829848985705,0.0001958276184745,0.0012456101990424,-0.0001198310425047,0.0001208114641785,0.0004148640023428,0.0018149159069508,0.9459600820524198,1.05789221796305,0.9399487059379878,-0.2678018215510249,0.5614280848896955,0.9918374996731992,0.9517474163803814,-0.0229632131972481,0.6614372376834662,1.0693252272561709,279.15167929488774,7475625
